mode,n,roc_auc,pr_auc,precision,recall,f1,specificity,balanced_accuracy,mean_lead_time_s
camera,3665,0.7887248486758126,0.8041187865172245,0.8334443704197202,0.6536050156739812,0.7326500732064423,0.8572244431753284,0.7554147294246548,3.533227767704633
radar,2491,0.7425345985998406,0.8285154011674036,1.0,0.018012422360248446,0.03538743136058572,1.0,0.5090062111801242,2.8458467872621225
fused,3065,0.872895322671243,0.8662242641396701,0.8181818181818182,0.8962875662934591,0.8554555680539934,0.7529239766081871,0.824605771450823,3.007091506853433
