mode,v_lat_mae,v_lat_ci_lo,v_lat_ci_hi,v_lat_rmse,v_lat_p95,v_fwd_mae,pos_mae,n
camera,0.8186882158013516,0.6911205222964432,0.9638045658019183,1.0384102839812344,2.1249762041811255,1.0480352973104725,2.3268949637669714,845
radar,1.6826205448638758,1.5671046773030575,1.7822436728365165,1.7193089006483808,2.0,0.15536517224110266,2.456512186673639,845
fused,0.6720891572772818,0.4885442962298442,0.9103048381991414,1.101303532893903,2.476001622840965,0.1986370220613754,2.031980043902652,845
